subject,datestamp,timestamp,version,crt1,crt2,crt3,id
A15WYY7ZKAQQ7R_m3r5,2014-09-11,11:28:58,la_moral_3p_random,5,5,47,814
A3TZZADDWD7O1A_m3r5,2014-09-11,11:30:00,la_moral_3p_random,0,5,47,815
A257UIPAZR9NTN_m3r5,2014-09-11,11:31:41,la_moral_3p_random,5,5,47,816
A26GD7O74RXO5U_m3r5,2014-09-11,11:40:32,la_moral_3p_random,0,5,47,817
A3URSY316O7QKA_m3r5,2014-09-11,11:45:15,la_moral_3p_random,5,5,47,818
ARFV302JOUOF_m3r5,2014-09-11,11:53:19,la_moral_3p_random,5,5,1,819
A25ZADCJI3D5AF_m3r5,2014-09-11,12:09:48,la_moral_3p_random,0,5,47,820
A22CDR7E994ORK_m3r5,2014-09-11,12:16:37,la_moral_3p_random,1,100,12,821
A3HNEYFOIJWPH1_m3r5,2014-09-11,12:40:14,la_moral_3p_random,5,5,47,822
A1I2V4JT86MJKK_m3r5,2014-09-11,12:45:32,la_moral_3p_random,50,100,24,823
AY83IK32UJU9B_m3r5,2014-09-11,12:46:52,la_moral_3p_random,10,5,47,824
A3M9OB97P8CBND_m3r5,2014-09-11,13:07:51,la_moral_3p_random,10,100,24,825
A1JG0SJHUXT1FW_m3r5,2014-09-11,13:10:53,la_moral_3p_random,10,5,47,826
A2A9UG936U98KG_m3r5,2014-09-11,13:12:56,la_moral_3p_random,10,100,24,827
ARU5SUU4YH3GX_m3r5,2014-09-11,13:43:25,la_moral_3p_random,10,100,47,828
A1YBX7P5PY8LL_m3r5,2014-09-17,18:04:54,la_moral_3p_random,0,5,24,829
AKFWAW2AJ5DOQ_m3r5,2014-09-17,18:04:58,la_moral_3p_random,5,5,47,830
A3D8O8CQZICN0F_m3r5,2014-09-17,18:05:38,la_moral_3p_random,10,100,16,831
A23VM3SZWYATBO_m3r5,2014-09-17,18:07:05,la_moral_3p_random,10,100,24,832
ARTSG66V2MOJ6_m3r5,2014-09-17,18:08:31,la_moral_3p_random,10,5,47,833
" A1PNOIIYIW9NYA_m3r5",2014-09-17,18:08:59,la_moral_3p_random,10,100,24,834
A1PMQY9CDRN6VJ_m3r5,2014-09-17,18:09:28,la_moral_3p_random,5,5,47,835
A2SD0FOTS35JYN_m3r5,2014-09-17,18:10:02,la_moral_3p_random,1,20,6,836
AJ34WB9Z37ILU_m3r5,2014-09-17,18:10:31,la_moral_3p_random,0,5,47,837
A1QOR6XZKINWNA_m3r5,2014-09-17,18:10:34,la_moral_3p_random,0,100,24,838
A3W5CPVTONIGVI_m3r5,2014-09-17,18:10:36,la_moral_3p_random,5,5,47,839
A2Q5O64TC9HI8V_m3r5,2014-09-17,18:10:45,la_moral_3p_random,5,5,47,840
A2ZBDSR2LZNVAE_m3r5,2014-09-17,18:11:08,la_moral_3p_random,5,5,47,841
A7PX6N3VS02IX_m3r5,2014-09-17,18:11:30,la_moral_3p_random,10,5,24,842
ANI295T27XYTO_m3r5,2014-09-17,18:12:20,la_moral_3p_random,10,20,47,843
AUJTK82RQURYV_m3r5,2014-09-17,18:13:11,la_moral_3p_random,5,5,24,844
A2SJC9VRBGNC58_m3r5,2014-09-17,18:13:31,la_moral_3p_random,5,5,47,845
ATVNZK7C2VVJD_m3r5,2014-09-17,18:14:00,la_moral_3p_random,10,100,24,846
ADELW3TS04YY7_m3r5,2014-09-17,18:14:49,la_moral_3p_random,10,5,47,847
A1RTGA9KHJ6VS4_m3r5,2014-09-17,18:14:56,la_moral_3p_random,5,5,47,848
AFN5VMMGYPF1I_m3r5,2014-09-17,18:14:56,la_moral_3p_random,5,5,47,849
A1G086U25XD2MI_m3r5,2014-09-17,18:15:42,la_moral_3p_random,10,100,47,850
" A20YGFCRNDTD6_m3r5",2014-09-17,18:16:53,la_moral_3p_random,0,100,24,851
A1OVT0PCQPZ2J7_m3r5,2014-09-17,18:17:28,la_moral_3p_random,10,100,24,852
A34WDWM497QFWI_m3r5,2014-09-17,18:17:33,la_moral_3p_random,5,5,47,853
AY67NCS5495PA_m3r5,2014-09-17,18:17:42,la_moral_3p_random,10,5,24,854
A39NHCOMRAS4ST_m3r5,2014-09-17,18:18:28,la_moral_3p_random,0,100,24,855
A3SMTP08PPXDWA_m3r5,2014-09-17,18:18:28,la_moral_3p_random,0,5,47,856
