subject,datestamp,timestamp,version,pur1,pur2,pur3,id
AQHYHAYS90S76_m3r5,2014-08-19,17:08:10,lossave_moral,6,6,3,441
A8ZJ0R59VBVMC_m3r5,2014-08-19,17:09:06,lossave_moral,6,7,5,442
A3R75ZHD4610J_m3r5,2014-08-19,17:09:09,lossave_moral,6,7,2,443
A21EPR8KW0GWX2_m3r5,2014-08-19,17:09:10,lossave_moral,5,2,1,444
A35UUN98XNQJJS_m3r5,2014-08-19,17:09:16,lossave_moral,2,3,0,445
A3GWGTLQNHVQ2M_m3r5,2014-08-19,17:09:17,lossave_moral,7,7,2,446
A2B5HZBQ6C3J3L_m3r5,2014-08-19,17:09:20,lossave_moral,5,7,3,447
A269Z70PE47Z5X_m3r5,2014-08-19,17:09:24,lossave_moral,7,4,1,448
A2X7J4C6MIXVDB_m3r5,2014-08-19,17:09:30,lossave_moral,3,1,4,449
A1H198MRIM37T1_m3r5,2014-08-19,17:10:02,lossave_moral,7,1,7,450
A2M2BNQ1XW3J4Y_m3r5,2014-08-19,17:10:20,lossave_moral,5,3,3,451
A1T9ZEA4PGLHYD_m3r5,2014-08-19,17:10:30,lossave_moral,6,7,5,452
A2P6VK1US8OTC5_m3r5,2014-08-19,17:10:33,lossave_moral,4,7,6,453
A4N6HMS8AW9ZB_m3r5,2014-08-19,17:10:34,lossave_moral,5,6,2,454
" A37FQI6S9XARBT_m3r5",2014-08-19,17:10:44,lossave_moral,6,7,4,455
AB1X97ASE626Q_m3r5,2014-08-19,17:10:46,lossave_moral,4,1,1,456
A1QCJ8KX7WWY1B_m3r5,2014-08-19,17:11:04,lossave_moral,7,7,7,457
A3KO0A2DR3CH4F_m3r5,2014-08-19,17:11:07,lossave_moral,7,7,7,458
A1XR97XSHB17AB_m3r5,2014-08-19,17:11:13,lossave_moral,5,5,3,459
A3DAXQCWF0YI0M_m3r5,2014-08-19,17:11:15,lossave_moral,6,6,3,460
AAS0V105QISPM_m3r5,2014-08-19,17:11:16,lossave_moral,7,6,3,461
A1H3TNUIQS76TM_m3r5,2014-08-19,17:11:19,lossave_moral,7,7,1,462
AVPKE76DJLWK6_m3r5,2014-08-19,17:11:54,lossave_moral,1,1,1,463
A2NZ7RMSBXESNI_m3r5,2014-08-19,17:12:02,lossave_moral,7,7,1,464
A1OU9O4WETRJBL_m3r5,2014-08-19,17:12:51,lossave_moral,3,2,2,465
" A1PYODCHRF96S8_m3r5",2014-08-19,17:12:52,lossave_moral,5,3,4,466
A1KOHXO0BIQB8T_m3r5,2014-08-19,17:12:56,lossave_moral,2,6,2,467
" ASUN9TWBTBRCY_m3r5",2014-08-19,17:13:01,lossave_moral,6,5,2,468
A2L73JKDFWI0KJ_m3r5,2014-08-19,17:13:02,lossave_moral,5,6,3,469
A1LO480CZXGR32_m3r5,2014-08-19,17:13:03,lossave_moral,3,2,2,470
A3AQYGTOA6MFL8_m3r5,2014-08-19,17:13:03,lossave_moral,7,7,1,471
A3MFS69UTW9KL8_m3r5,2014-08-19,17:13:22,lossave_moral,7,6,4,472
A23UGHBSIY45CU_m3r5,2014-08-19,17:13:29,lossave_moral,6,2,3,473
