subject,datestamp,timestamp,version,crt1,crt2,crt3,id,crt_score,,,,Correct answers:
A2EM7RPFW3DU9N_m3r5,8/19/2014,17:27:56,lossave_moral,5,5,47,481,3,,,,
A2EO5AGNZ0EP8H_m3r5,8/19/2014,17:37:01,lossave_moral,10,100,24,520,0,,,,
A2EP2TI8HE8EGK_m3r5,8/19/2014,17:22:13,lossave_moral,5,20,12,431,1,,,,
A2FMIQ8I86GWVQ_m3r5,8/19/2014,17:16:01,lossave_moral,10,100,24,391,0,,,,
A2FRFMTVRHBF53_m3r5,8/19/2014,17:23:18,lossave_moral,10,100,24,443,0,,,,
A2FY93E2VMYOVT_m3r5,8/19/2014,17:07:34,lossave_moral,10,100,24,328,0,,,,
A2GS6VJEP91PA9_m3r5,8/19/2014,17:35:03,lossave_moral,0,5,47,518,2,,,,
A2GZI3UFOTY969_m3r5,8/19/2014,17:20:43,lossave_moral,5,5,24,421,2,,,,
A2H6XG5MS1WFFR_m3r5,8/19/2014,17:10:55,lossave_moral,0,100,47,350,1,,,,
A2HXSWSLIESQY7_m3r5,8/19/2014,17:06:28,lossave_moral,0,100,24,315,0,,,,
A2IFAPS9K2J2QC_m3r5,8/19/2014,17:16:17,lossave_moral,10,5,47,393,2,,,,
A2IY4Z79FRNF7N_m3r5,8/19/2014,17:58:16,lossave_moral,0,100,24,541,0,,,,
A2KPT0PEUEXCC4_m3r5,8/19/2014,17:19:14,lossave_moral,10,550,24,414,0,,,,
A2L73JKDFWI0KJ_m3r5,8/19/2014,17:24:24,lossave_moral,10,500,24,449,0,,,,
A2M2BNQ1XW3J4Y_m3r5,8/19/2014,17:19:28,lossave_moral,0,5,40,416,1,,,,
A2MQXFHQABHJ8E_m3r5,8/19/2014,17:26:57,lossave_moral,10,100,24,471,0,,,,
A2N4DD7IS7EI2D_m3r5,8/19/2014,17:08:31,lossave_moral,50,60,112,332,0,,,,
A2NA2OJT15COZY_m3r5,8/19/2014,17:38:45,lossave_moral,5,5,47,522,3,,,,
A2NI99CLB8OQ1X_m3r5,8/19/2014,17:01:40,lossave_moral,0,100,24,292,0,,,,
A2NQT50GA2G1B0_m3r5,8/19/2014,17:08:29,lossave_moral,10,100,24,331,0,,,,
A2NZ7RMSBXESNI_m3r5,8/19/2014,17:25:33,lossave_moral,0,5,47,459,2,,,,
A2OF53SX9BQ7RO_m3r5,8/19/2014,17:15:00,lossave_moral,10,500,24,387,0,,,,
A2OLVF6P86QSQJ_m3r5,8/19/2014,17:21:26,lossave_moral,5,5,47,425,3,,,,
A2P6VK1US8OTC5_m3r5,8/19/2014,17:20:50,lossave_moral,10,5,24,422,1,,,,
A2QG6V1C14866C_m3r5,8/19/2014,17:30:46,lossave_moral,2,500,24,502,0,,,,
